park,ID,cluster_id,long,lat
RP,1,6,144.9489598,-37.76534224
RP,2,9,144.927353,-37.7945499
RP,3,5,144.9583364,-37.77078231
RP,4,4,144.9483388,-37.78167586
RP,5,10,144.9417016,-37.77625581
RP,6,1,144.9247844,-37.78119696
RP,7,3,144.9381573,-37.7870616
RP,8,8,144.9597516,-37.80774258
RP,9,7,144.9590748,-37.78458409
RP,10,3,144.9436289,-37.7895177
RP,11,1,144.9257338,-37.78507888
RP,12,9,144.9289422,-37.79626083
RP,13,3,144.9388663,-37.79232264
RP,14,8,144.9551353,-37.80336664
RP,15,2,144.947148,-37.80141008
RP,16,6,144.9532906,-37.77009057
RP,17,2,144.9424744,-37.79670415
RP,18,1,144.9294977,-37.77705986
RP,19,5,144.9600323,-37.7686985
RP,20,2,144.9384163,-37.8021974
RP,21,3,144.9380634,-37.78927304
RP,22,10,144.9435835,-37.77844224
RP,23,7,144.9517651,-37.79338544
RP,24,4,144.9499791,-37.77800541
RP,25,2,144.9453149,-37.79477808
RP,26,6,144.9490126,-37.76723466
RP,27,10,144.9388029,-37.76977527
RP,28,10,144.9397063,-37.77355684
RP,29,3,144.9403976,-37.783924
RP,30,6,144.9544416,-37.76623883
RP,31,5,144.9584661,-37.77347071
RP,32,4,144.9523982,-37.78068546
RP,33,10,144.9342426,-37.77842862
RP,34,6,144.9490185,-37.7694534
RP,35,3,144.9422844,-37.78500782
RP,36,10,144.9371272,-37.77768282
RP,37,1,144.9278069,-37.7734322
RP,38,10,144.9431133,-37.77381411
RP,39,9,144.9280132,-37.78908796
RP,40,10,144.9397921,-37.77892584
RP,41,3,144.9451526,-37.78574281
RP,42,8,144.9515503,-37.79777629
RP,43,4,144.947618,-37.77468463
RP,44,7,144.9563272,-37.7823742
RP,45,7,144.95853,-37.78732551
RP,46,3,144.9473909,-37.78812492
RP,47,8,144.9565305,-37.80850335
RP,48,7,144.9540318,-37.79216323
RP,49,7,144.9536599,-37.78534985
RP,50,2,144.9447935,-37.80312308
RP,51,4,144.9557826,-37.77752768
RP,52,2,144.9412501,-37.801157
RP,53,2,144.9369315,-37.795291
RP,54,8,144.9533522,-37.80734431
RP,55,6,144.9440917,-37.76593199
RP,56,8,144.9542507,-37.79968019
RP,57,3,144.9416092,-37.79197997
RP,58,7,144.9498401,-37.78512745
RP,59,3,144.9430451,-37.7874844
RP,60,7,144.9518309,-37.7842133
